season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
2017,16,6,1:00 PM,0,0,WAS,27,11,DEN,WAS,-3,39.5,FedEx Field,"Landover, Maryland",0,43,7,0,16,38,1,0,1,1,33,Low Spread,WAS,DEN,WAS
2017,16,0,4:30 PM,0,0,HOU,6,34,PIT,PIT,-8,45.5,NRG Stadium,"Houston, Texas",0,72,0,1,-28,40,0,0,0,0,28,High Spread,PIT,HOU,PIT
2017,16,0,8:30 PM,1,0,PHI,19,10,LVR,PHI,-10,46,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,29,15,0,9,29,1,0,1,0,26,High Spread,PHI,LVR,LVR
2017,17,6,4:30 PM,0,0,ATL,22,10,CAR,ATL,-5,44.5,Mercedes-Benz Stadium,"Atlanta, Georgia",0,72,0,1,12,32,1,0,1,1,2,Medium Spread,ATL,CAR,ATL
2017,17,6,4:30 PM,0,0,BAL,27,31,CIN,BAL,-8,40,M&T Bank Stadium,"Baltimore, Maryland",0,19,12,0,-4,58,1,1,0,0,3,High Spread,CIN,BAL,CIN
2017,17,6,4:30 PM,0,0,DEN,24,27,KC,DEN,-3,37.5,Empower Field at Mile High,"Denver, Colorado",0,17,4,0,-3,51,1,1,0,0,10,Low Spread,KC,DEN,KC
2017,17,6,1:00 PM,0,0,DET,35,11,GB,DET,-7.5,44.5,Ford Field,"Detroit, Michigan",0,72,0,1,24,46,1,1,1,1,11,Medium Spread,DET,GB,DET
2017,17,6,1:00 PM,0,0,IND,22,13,HOU,IND,-5.5,41.5,Lucas Oil Stadium,"Indianapolis, Indiana",0,72,0,1,9,35,1,0,1,1,14,Medium Spread,IND,HOU,IND
2017,17,6,4:30 PM,0,0,LAC,30,10,LVR,LAC,-7,43,Dignity Health Sports Park,"Carson, California",0,62,2,0,20,40,1,0,1,1,17,Medium Spread,LAC,LVR,LAC
2017,17,6,4:30 PM,0,0,LAR,13,34,SF,SF,-6,44.5,Los Angeles Memorial Coliseum,"Los Angeles, California",0,67,3,0,-21,47,0,1,0,0,30,Medium Spread,SF,LAR,SF
2017,17,6,4:30 PM,0,0,MIA,16,22,BUF,BUF,-2.5,41.5,Hard Rock Stadium,"Miami Gardens, Florida",0,71,9,0,-6,38,0,0,0,0,4,Low Spread,BUF,MIA,BUF
2017,17,6,1:00 PM,0,0,MIN,23,10,CHI,MIN,-13.5,38.5,U.S. Bank Stadium,"Minneapolis, Minnesota",0,72,0,1,13,33,1,0,1,0,21,High Spread,MIN,CHI,CHI
2017,17,6,1:00 PM,0,0,NE,26,6,NYJ,NE,-17,43.5,Gillette Stadium,"Foxboro, Massachusetts",0,13,14,0,20,32,1,0,1,1,22,High Spread,NE,NYJ,NE
2017,17,6,1:00 PM,0,0,NYG,18,10,WAS,WAS,-4.5,41,MetLife Stadium,"East Rutherford, New Jersey",0,16,16,0,8,28,0,0,1,1,33,Medium Spread,NYG,WAS,NYG
2017,17,6,1:00 PM,0,0,PHI,0,6,DAL,DAL,-3.5,41,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,19,17,0,-6,6,0,0,0,0,9,Medium Spread,DAL,PHI,DAL
2017,17,6,1:00 PM,0,0,PIT,28,24,CLE,PIT,-5,38.5,Acrisure Stadium,"Pittsburgh, Pennsylvania",0,11,3,0,4,52,1,1,1,0,28,Medium Spread,PIT,CLE,CLE
2017,17,6,4:30 PM,0,0,SEA,24,26,ARI,SEA,-8,38,Lumen Field,"Seattle, Washington",0,40,7,0,-2,50,1,1,0,0,29,High Spread,ARI,SEA,ARI
2017,17,6,4:30 PM,0,0,TB,31,24,NO,NO,-6,49,Raymond James Stadium,"Tampa, Florida",0,71,3,0,7,55,0,1,1,1,23,Medium Spread,TB,NO,TB
2017,17,6,4:30 PM,0,0,TEN,15,10,JAX,TEN,-2.5,40,Nissan Stadium,"Nashville, Tennessee",0,23,5,0,5,25,1,0,1,1,32,Low Spread,TEN,JAX,TEN
2017,19,5,4:30 PM,0,1,KC,21,22,TEN,KC,-8.5,44,Arrowhead Stadium,"Kansas City, Missouri",0,33,10,0,-1,43,1,0,0,0,16,High Spread,TEN,KC,TEN
