,Unnamed: 0,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
67,67,10/9/16,2016,5,6,4:00 PM,0,0,DEN,16,23,ATL,DEN,-3.5,44.5,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280.0,0,73,1,0,-7,39,1,0,0,0,10,Medium Spread,ATL,DEN,ATL
68,68,10/9/16,2016,5,6,1:00 PM,0,0,DET,24,23,PHI,PHI,-3.5,46.0,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581.0,0,72,0,1,1,47,0,1,1,1,26,Medium Spread,DET,PHI,DET
69,69,10/9/16,2016,5,6,8:30 PM,1,0,GB,23,16,NYG,GB,-7.0,49.0,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640.0,0,48,2,0,7,39,1,0,1,2,12,Medium Spread,GB,NYG,Push
70,70,10/9/16,2016,5,6,1:00 PM,0,0,IND,29,23,CHI,IND,-4.0,47.5,Lucas Oil Stadium,"Indianapolis, Indiana","63,000",39.760056,-86.162806,717.0,0,72,0,1,6,52,1,1,1,1,14,Medium Spread,IND,CHI,IND
71,71,10/9/16,2016,5,6,4:30 PM,0,0,LAR,19,30,BUF,BUF,-2.5,41.5,Los Angeles Memorial Coliseum,"Los Angeles, California","93,605",34.014167,-118.287778,185.0,0,87,5,0,-11,49,0,1,0,0,4,Low Spread,BUF,LAR,BUF
72,72,10/9/16,2016,5,6,1:00 PM,0,0,MIA,17,30,TEN,MIA,-2.5,44.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7.0,0,87,12,0,-13,47,1,1,0,0,20,Low Spread,TEN,MIA,TEN
73,73,10/9/16,2016,5,6,1:00 PM,0,0,MIN,31,13,HOU,MIN,-6.0,39.0,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840.0,0,72,0,1,18,44,1,1,1,1,21,Medium Spread,MIN,HOU,MIN
74,74,10/9/16,2016,5,6,4:30 PM,0,0,LVR,34,31,LAC,LVR,-3.5,50.5,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21.0,0,78,4,0,3,65,1,1,1,0,19,Medium Spread,LVR,LAC,LAC
75,75,10/9/16,2016,5,6,1:00 PM,0,0,PIT,31,13,NYJ,PIT,-10.0,50.0,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730.0,0,57,6,0,18,44,1,0,1,1,28,High Spread,PIT,NYJ,PIT
76,76,10/10/16,2016,5,0,8:00 PM,1,0,CAR,14,17,TB,CAR,-6.0,46.5,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751.0,0,57,2,0,-3,31,1,0,0,0,5,Medium Spread,TB,CAR,TB
77,77,10/13/16,2016,6,3,8:30 PM,1,0,LAC,21,13,DEN,DEN,-3.0,44.0,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13.0,0,69,6,0,8,34,0,0,1,1,10,Low Spread,LAC,DEN,LAC
78,78,10/16/16,2016,6,6,1:00 PM,0,0,BUF,45,16,SF,BUF,-7.5,44.0,Highmark Stadium,"Orchard Park, New York","73,967",42.889,-78.8901,178.0,0,72,9,0,29,61,1,1,1,1,4,Medium Spread,BUF,SF,BUF
79,79,10/16/16,2016,6,6,1:00 PM,0,0,CHI,16,17,JAX,CHI,-2.5,46.0,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594.0,0,67,3,0,-1,33,1,0,0,0,6,Low Spread,JAX,CHI,JAX
80,80,10/16/16,2016,6,6,1:00 PM,0,0,DET,31,28,LAR,DET,-2.5,44.0,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581.0,0,72,0,1,3,59,1,1,1,1,11,Low Spread,DET,LAR,DET
81,81,10/16/16,2016,6,6,4:30 PM,0,0,GB,16,30,DAL,GB,-5.0,47.0,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640.0,0,67,4,0,-14,46,1,0,0,0,12,Medium Spread,DAL,GB,DAL
82,82,10/16/16,2016,6,6,8:30 PM,1,0,HOU,26,23,IND,HOU,-3.0,47.5,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43.0,0,72,0,1,3,49,1,1,1,2,13,Low Spread,HOU,IND,Push
83,83,10/16/16,2016,6,6,1:00 PM,0,0,MIA,30,15,PIT,PIT,-7.5,49.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7.0,0,82,11,0,15,45,0,0,1,1,28,Medium Spread,MIA,PIT,MIA
