,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temperature,wind_mph,indoor,precipitation,point_differential,total_points_scored,home_favorite,away_favorite,total_result,result,cover_result,team_favored_id_int,spread_category
82,10/16/16,2016,6,6,8:30 PM,1,0,HOU,26,23,IND,HOU,-3,47.5,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43,0,72,0,1,,3,49,1,0,1,1,2,13,Low Spread
83,10/16/16,2016,6,6,1:00 PM,0,0,MIA,30,15,PIT,PIT,-7.5,49.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7,0,82,11,0,,15,45,0,1,0,1,1,28,Medium Spread
84,10/16/16,2016,6,6,1:00 PM,0,0,NE,35,17,CIN,NE,-7.5,48,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289,0,66,7,0,,18,52,1,0,1,1,1,22,Medium Spread
85,10/16/16,2016,6,6,1:00 PM,0,0,NO,41,38,CAR,CAR,-2.5,53.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3,0,72,0,1,,3,79,0,1,1,1,1,5,Low Spread
86,10/16/16,2016,6,6,1:00 PM,0,0,NYG,27,23,BAL,NYG,-3.5,42.5,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3,0,66,6,0,,4,50,1,0,1,1,1,24,Medium Spread
87,10/16/16,2016,6,6,4:00 PM,0,0,LVR,10,26,KC,KC,-1,46.5,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21,0,61,5,0,rain,-16,36,0,1,0,0,0,16,Low Spread
88,10/16/16,2016,6,6,4:30 PM,0,0,SEA,26,24,ATL,SEA,-7,45.5,Lumen Field,"Seattle, Washington","67,000",47.6523,-122.4095,20,0,54,5,0,,2,50,1,0,1,1,0,29,Medium Spread
89,10/16/16,2016,6,6,1:00 PM,0,0,TEN,28,26,CLE,TEN,-7.5,44.5,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430,0,79,7,0,,2,54,1,0,1,1,0,32,Medium Spread
90,10/16/16,2016,6,6,1:00 PM,0,0,WAS,27,20,PHI,PHI,-3,45,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265,0,69,5,0,,7,47,0,1,1,1,1,26,Low Spread
91,10/17/16,2016,6,0,8:30 PM,1,0,ARI,28,3,NYJ,ARI,-7,45.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068,0,72,0,1,,25,31,1,0,0,1,1,1,Medium Spread
92,10/20/16,2016,7,3,8:30 PM,1,0,GB,26,10,CHI,GB,-7.5,46.5,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640,0,47,3,0,,16,36,1,0,0,1,1,12,Medium Spread
93,10/23/16,2016,7,6,8:30 PM,1,0,ARI,6,6,SEA,ARI,-2.5,43,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068,0,72,0,1,,0,12,1,0,0,0,0,1,Low Spread
94,10/23/16,2016,7,6,4:00 PM,0,0,ATL,30,33,LAC,ATL,-4.5,52.5,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050,0,72,0,1,,-3,63,1,0,1,0,0,2,Medium Spread
95,10/23/16,2016,7,6,1:00 PM,0,0,CIN,31,17,CLE,CIN,-11,46.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482,0,66,6,0,,14,48,1,0,1,1,1,7,High Spread
96,10/23/16,2016,7,6,1:00 PM,0,0,DET,20,17,WAS,WAS,-1,50,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581,0,72,0,1,,3,37,0,1,0,1,1,33,Low Spread
97,10/23/16,2016,7,6,1:00 PM,0,0,JAX,16,33,LVR,JAX,-2,47.5,EverBank Field,"Jacksonville, Florida","67,264",30.23333,-81.66667,10,0,72,5,0,,-17,49,1,0,1,0,0,15,Low Spread
98,10/23/16,2016,7,6,1:00 PM,0,0,KC,27,21,NO,KC,-7,51.5,Arrowhead Stadium,"Kansas City, Missouri","76,416",39.048889,-94.483889,1024,0,69,6,0,,6,48,1,0,0,1,0,16,Medium Spread
99,10/23/16,2016,7,6,9:30 AM,0,0,LAR,10,17,NYG,NYG,-2.5,44.5,Twickenham Stadium,"London, England","82,000",51.456111,-0.341667,43,1,54,10,0,,-7,27,0,1,0,0,0,24,Low Spread
100,10/23/16,2016,7,6,1:00 PM,0,0,MIA,28,25,BUF,BUF,-2.5,46,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7,0,80,10,0,,3,53,0,1,1,1,1,4,Low Spread
101,10/23/16,2016,7,6,1:00 PM,0,0,NYJ,24,16,BAL,NYJ,-2.5,40,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3,0,58,11,0,,8,40,1,0,2,1,1,25,Low Spread
102,10/23/16,2016,7,6,1:00 PM,0,0,PHI,21,10,MIN,MIN,-3,39,Lincoln Financial Field,"Philadelphia, Pennsylvania","69,176",39.900833,-75.1675,30,0,61,10,0,,11,31,0,1,0,1,1,21,Low Spread
103,10/23/16,2016,7,6,4:30 PM,0,0,PIT,16,27,NE,NE,-7.5,49,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730,0,63,6,0,,-11,43,0,1,0,0,0,22,Medium Spread
104,10/23/16,2016,7,6,4:00 PM,0,0,SF,17,34,TB,SF,-1,45,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17,0,69,2,0,,-17,51,1,0,1,0,0,30,Low Spread
105,10/23/16,2016,7,6,1:00 PM,0,0,TEN,26,34,IND,TEN,-4,48,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430,0,71,5,0,,-8,60,1,0,1,0,0,32,Medium Spread
106,10/24/16,2016,7,0,8:30 PM,1,0,DEN,27,9,HOU,DEN,-8.5,40,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280,0,66,2,0,,18,36,1,0,0,1,1,10,High Spread
107,10/27/16,2016,8,3,8:30 PM,1,0,TEN,36,22,JAX,TEN,-3,43.5,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430,0,66,4,0,,14,58,1,0,1,1,1,32,Low Spread
108,10/30/16,2016,8,6,4:30 PM,0,0,ATL,33,32,GB,ATL,-3,51,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050,0,72,0,1,,1,65,1,0,1,1,0,2,Low Spread
109,10/30/16,2016,8,6,1:00 PM,0,0,BUF,25,41,NE,NE,-5.5,48,New Era Field,"Orchard Park, New York","73,967",42.889,-78.8901,178,0,50,2,0,rain,-16,66,0,1,1,0,0,22,Medium Spread
110,10/30/16,2016,8,6,1:00 PM,0,0,CAR,30,20,ARI,CAR,-2.5,45.5,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751,0,80,4,0,,10,50,1,0,1,1,1,5,Low Spread
111,10/30/16,2016,8,6,8:30 AM,0,0,CIN,27,27,WAS,CIN,-3,49,Wembley Stadium,"London, England","90,000",51.555833,-0.279722,171,1,52,3,0,,0,54,1,0,1,0,0,7,Low Spread
