,season,week,primetime,playoff_game,score_home,score_away,point_spread,total_line,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,result,cover_result,total_result,winner_id,loser_id,cover_map,clusters,cluster
167,2016,12,0,0,21,27,-6.5,42.0,0,38,5,0,-6,48,0,0,1,1,31,6,6,0,pink
168,2016,12,0,0,13,27,-6.5,46.5,0,46,10,0,-14,40,0,0,0,0,24,8,24,0,pink
169,2016,12,1,0,27,30,-3.5,40.0,0,44,6,0,-3,57,1,0,0,1,16,10,16,0,pink
170,2016,12,0,0,13,21,-2.5,46.0,0,72,0,1,-8,34,0,0,0,0,17,13,17,1,purple
171,2016,12,0,0,31,24,-7.0,45.0,0,79,10,0,7,55,1,1,2,1,20,29,0,2,blue
172,2016,12,0,0,49,21,-8.0,45.0,0,72,0,1,28,70,1,1,1,1,23,18,23,2,blue
173,2016,12,0,0,17,22,-9.5,48.5,0,48,8,0,-5,39,0,0,1,0,22,25,25,0,pink
174,2016,12,0,0,35,32,-3.5,48.5,0,56,6,0,3,67,1,1,0,1,19,5,5,2,blue
175,2016,12,0,0,14,5,-5.5,46.0,0,78,7,0,9,19,0,1,1,0,30,28,30,1,purple
176,2016,12,1,0,13,27,-4.0,47.5,0,47,4,0,-14,40,1,0,0,0,12,26,12,1,purple
177,2016,13,1,0,15,17,-3.0,43.5,0,72,0,1,-2,32,0,0,1,0,9,21,21,1,purple
178,2016,13,0,0,31,23,-2.5,48.5,0,72,0,1,8,54,1,1,1,1,1,32,1,2,blue
179,2016,13,0,0,28,29,-5.0,50.0,0,72,0,1,-1,57,1,0,0,1,16,2,16,2,blue
180,2016,13,0,0,38,6,-3.5,41.5,0,45,3,0,32,44,1,1,1,1,3,20,3,0,pink
181,2016,13,0,0,26,6,-1.0,44.0,0,35,5,0,20,32,0,1,1,0,6,29,6,0,pink
182,2016,13,0,0,32,14,-1.5,42.0,0,41,3,0,18,46,1,1,1,1,7,26,7,0,pink
183,2016,13,0,0,21,13,-7.0,44.5,0,31,4,0,8,34,1,1,1,0,12,13,12,0,pink
184,2016,13,0,0,10,20,-3.5,38.5,0,75,3,0,-10,30,0,0,0,0,10,15,10,1,purple
185,2016,13,0,0,26,10,-13.5,45.0,0,37,7,0,16,36,1,1,1,0,22,18,22,0,pink
186,2016,13,0,0,13,28,-6.5,53.5,0,72,0,1,-15,41,1,0,0,0,11,23,11,1,purple
187,2016,13,0,0,38,24,-3.0,48.5,0,55,2,0,14,62,1,1,1,1,19,4,19,2,blue
188,2016,13,0,0,24,14,-6.5,49.5,0,40,2,0,10,38,1,1,1,0,27,24,27,0,pink
189,2016,13,0,0,21,28,-3.5,49.0,0,71,3,0,-7,49,1,0,0,2,30,17,30,1,purple
190,2016,13,1,0,40,7,-8.5,44.0,0,41,1,0,33,47,1,1,1,1,28,5,28,0,pink
191,2016,13,1,0,10,41,-1.0,48.5,0,43,2,0,-31,51,1,0,0,1,14,25,14,1,purple
